scenario,ablation,label,seed,demand,throughput,good_units,scrap_units,scrap_rate,unfinished,maintenance_events,downtime_hrs,downtime_share,mean_health_end,mean_fatigue,max_fatigue,hc1_breaches,mean_rula,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,oee,constraint_violations,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,energy_kwh,energy_per_unit,co2e_kg,machine_utilisation,operator_utilisation,workload_gini,deferral_epochs
S1,none,full framework,14.5,75.0,67.53333333333333,59.0,8.533333333333333,0.12736333333333333,7.466666666666667,4.466666666666667,1.1,0.027476666666666667,0.7459133333333334,0.45559999999999995,0.7798866666666666,0.0,4.05498,0.0,0.45963333333333334,0.9725199999999999,0.8195899999999999,0.8726366666666667,0.6954533333333334,0.0,0.0,0.0,2488.8,1381.2,197.9,0.0,76.84826666666666,1.1396733333333333,25.3599,0.39270666666666665,0.6545066666666667,0.08427666666666668,7.666666666666667
S1,CP1,no skill -> quality,14.5,75.0,67.53333333333333,59.06666666666667,8.466666666666667,0.12623666666666666,7.466666666666667,4.633333333333334,1.1416666666666666,0.02851333333333333,0.76867,0.45574,0.7795966666666667,0.0,4.053493333333333,0.0,0.4595966666666667,0.9714866666666667,0.8190333333333333,0.8737633333333333,0.69513,0.0,0.0,0.0,2440.6666666666665,1377.4666666666667,200.16666666666666,0.0,76.8968,1.1402433333333333,25.375933333333332,0.3929766666666667,0.6549466666666667,0.08369,7.633333333333334
S1,CP2,no fatigue -> quality,14.5,75.0,67.56666666666666,59.0,8.566666666666666,0.1277,7.433333333333334,4.566666666666666,1.125,0.0281,0.7575566666666667,0.4560033333333333,0.7789,0.0,4.0521,0.0,0.45992,0.9719,0.8200433333333332,0.8723,0.6951533333333334,0.0,0.0,0.0,2464.0666666666666,1373.5333333333333,196.4,0.0,76.8058,1.1383599999999998,25.345866666666666,0.3927866666666667,0.6546333333333333,0.08364666666666666,7.933333333333334
S1,CP5,no pace -> ergonomics,14.5,75.0,68.8,60.46666666666667,8.333333333333334,0.12186666666666666,6.2,3.2,0.8,0.01996,0.5552066666666666,0.47309666666666667,0.7794833333333333,0.0,4.26339,5.433333333333334,0.45666,0.9799599999999999,0.8260266666666667,0.8781333333333333,0.71086,5.433333333333334,0.0,0.0,2397.633333333333,1272.7333333333333,23.133333333333333,0.0,79.41346666666666,1.1561066666666666,26.206466666666664,0.40116999999999997,0.66862,0.08796333333333334,5.566666666666666
S1,all,all couplings off,14.5,75.0,68.73333333333333,60.43333333333333,8.3,0.12151333333333333,6.266666666666667,3.566666666666667,0.875,0.02185,0.5951299999999999,0.47201,0.7794833333333333,0.0,4.228003333333334,3.566666666666667,0.45376,0.9781,0.8261833333333333,0.8784866666666667,0.70985,3.566666666666667,0.0,0.0,2370.4,1269.8,25.133333333333333,0.0,79.01086666666667,1.1514433333333334,26.073566666666668,0.40048666666666666,0.66748,0.08769666666666667,5.6
S2,none,full framework,14.5,112.0,90.23333333333333,79.26666666666667,10.966666666666667,0.12167333333333333,21.766666666666666,5.466666666666667,1.3583333333333334,0.03393,0.7457366666666666,0.5411266666666666,0.7810266666666668,0.0,4.02799,0.0,0.4388033333333333,0.96607,0.8058466666666667,0.8783266666666667,0.6838466666666666,0.0,0.0,0.0,3919.9666666666667,1468.5,214.0,0.0,82.3666,0.9146266666666667,27.180966666666666,0.49465333333333333,0.82444,0.024336666666666666,3.533333333333333
S2,CP1,no skill -> quality,14.5,112.0,90.4,79.53333333333333,10.866666666666667,0.12037333333333335,21.6,5.566666666666666,1.3833333333333333,0.03456,0.7540033333333334,0.5418266666666667,0.78149,0.0,4.0280233333333335,0.0,0.4392,0.96544,0.8071566666666666,0.8796266666666667,0.6855033333333334,0.0,0.0,0.0,3923.4666666666667,1449.9,199.0,0.0,82.60453333333334,0.9153699999999999,27.2595,0.49546666666666667,0.8257766666666666,0.024783333333333334,3.1666666666666665
S2,CP2,no fatigue -> quality,14.5,112.0,90.4,79.56666666666666,10.833333333333334,0.12000000000000001,21.6,5.6,1.3916666666666666,0.034769999999999995,0.7579266666666666,0.5418233333333333,0.7808666666666667,0.0,4.026516666666667,0.0,0.43922333333333335,0.96523,0.8074666666666667,0.88,0.6858566666666667,0.0,0.0,0.0,3916.733333333333,1460.5666666666666,204.73333333333332,0.0,82.4767,0.9139966666666666,27.2173,0.4952533333333333,0.8254199999999999,0.02519,3.1333333333333333
S2,CP5,no pace -> ergonomics,14.5,112.0,91.03333333333333,80.0,11.033333333333333,0.12122333333333332,20.966666666666665,4.333333333333333,1.0666666666666667,0.02665666666666667,0.5689766666666666,0.55423,0.7800733333333334,0.0,4.213126666666667,4.8,0.4369166666666667,0.9733433333333333,0.8086466666666666,0.8787766666666667,0.69178,4.8,0.0,0.0,3830.766666666667,1320.6666666666667,39.06666666666667,0.0,84.43236666666667,0.92927,27.862633333333335,0.5004066666666667,0.8340066666666667,0.02399,2.466666666666667
S2,all,all couplings off,14.5,112.0,91.03333333333333,80.3,10.733333333333333,0.11803333333333334,20.966666666666665,4.566666666666666,1.1166666666666667,0.027896666666666667,0.5919966666666667,0.55402,0.7800866666666667,0.0,4.19615,3.3333333333333335,0.43452999999999997,0.9721,0.8089099999999999,0.8819666666666667,0.6936700000000001,3.3333333333333335,0.0,0.0,3771.233333333333,1314.6,37.333333333333336,0.0,84.03463333333335,0.9248866666666667,27.73143333333333,0.5002533333333333,0.83375,0.02400333333333333,2.466666666666667
S3,none,full framework,14.5,94.0,79.43333333333334,69.9,9.533333333333333,0.12036,14.566666666666666,6.2,2.825,0.07062333333333333,0.7486166666666667,0.5006066666666666,0.77928,0.0,4.0349433333333335,0.0,0.44556,0.9294,0.81413,0.87964,0.6654366666666667,0.0,0.0,0.0,3038.4666666666667,1562.3666666666666,189.86666666666667,0.0,80.08763333333333,1.0104133333333334,26.428966666666668,0.44614666666666664,0.74358,0.04764,6.066666666666666
S3,CP1,no skill -> quality,14.5,94.0,79.4,69.83333333333333,9.566666666666666,0.12076666666666667,14.6,6.233333333333333,2.966666666666667,0.07416333333333333,0.7581333333333333,0.5002833333333333,0.7800600000000001,0.0,4.03073,0.0,0.44631000000000004,0.92586,0.8137733333333333,0.8792333333333333,0.6624466666666666,0.0,0.0,0.0,3019.5,1554.4333333333334,201.2,0.0,80.08486666666666,1.0108366666666666,26.427933333333332,0.44605,0.7434233333333334,0.04799333333333333,5.833333333333333
S3,CP2,no fatigue -> quality,14.5,94.0,79.46666666666667,69.8,9.666666666666666,0.12188333333333333,14.533333333333333,6.266666666666667,2.933333333333333,0.07332666666666668,0.7558900000000001,0.5009266666666666,0.7798666666666667,0.0,4.03064,0.0,0.44675333333333334,0.9266933333333334,0.8140766666666667,0.8781166666666667,0.6624066666666667,0.0,0.0,0.0,3041.366666666667,1542.0666666666666,195.93333333333334,0.0,80.16403333333332,1.0109666666666668,26.454,0.44647666666666663,0.7441333333333334,0.049100000000000005,5.733333333333333
S3,CP5,no pace -> ergonomics,14.5,94.0,80.16666666666667,69.93333333333334,10.233333333333333,0.12801,13.833333333333334,5.166666666666667,2.0416666666666665,0.05104333333333333,0.65339,0.5128233333333333,0.7794833333333333,0.0,4.226003333333334,5.533333333333333,0.4398766666666667,0.94897,0.8157666666666666,0.87199,0.6752233333333333,5.533333333333333,0.0,0.0,3015.266666666667,1495.9,20.333333333333332,0.0,82.1931,1.02764,27.123733333333334,0.4520733333333334,0.7534533333333333,0.05205666666666667,4.4
S3,all,all couplings off,14.5,94.0,80.16666666666667,70.26666666666667,9.9,0.12395333333333333,13.833333333333334,5.433333333333334,2.2583333333333333,0.056453333333333335,0.66464,0.51278,0.7793666666666667,0.0,4.2005799999999995,4.1,0.4383533333333334,0.9435666666666667,0.8158433333333334,0.8760466666666668,0.6746533333333333,4.1,0.0,0.0,2983.0666666666666,1467.6333333333334,22.9,0.0,81.86813333333333,1.0235866666666666,27.01653333333333,0.45202333333333333,0.7533766666666667,0.051686666666666665,4.5
