scenario,condition,label,shifts,epochs,deferral_epochs,deferral_rate,throughput,unfinished,mean_fatigue,fatigue_breaches_vs_ref,rula_breaches_vs_ref,hc1_breaches,hc3_breaches,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered
S1,configured,as configured,20,640,156,0.2437,67.9,7.1,0.4581,0,0,0,0,49249,26583,3918,0
S2,configured,as configured,20,640,74,0.1156,90.55,21.45,0.5433,0,0,0,0,77159,28103,4182,0
S3,configured,as configured,20,640,125,0.1953,79.5,14.5,0.5006,0,0,0,0,60112,30669,4058,0
S1,HC1 off,no fatigue limit,20,640,157,0.2453,69.3,5.7,0.4848,161,0,0,0,0,30148,38147,0
S2,HC1 off,no fatigue limit,20,640,69,0.1078,91.9,20.1,0.5631,208,0,0,0,0,37544,57866,0
S3,HC1 off,no fatigue limit,20,640,122,0.1906,81.05,12.95,0.5254,191,0,0,0,0,35759,47709,0
S1,HC2 off,no competence floor,20,640,127,0.1984,72.4,2.6,0.5352,0,0,0,0,42939,0,7886,0
S2,HC2 off,no competence floor,20,640,56,0.0875,92.25,19.75,0.5888,0,0,0,0,71937,0,10655,0
S3,HC2 off,no competence floor,20,640,103,0.1609,82.6,11.4,0.5628,0,0,0,0,57233,0,10758,0
S1,HC3 off,no ergonomic ceiling,20,640,106,0.1656,69.15,5.85,0.4759,0,105,0,0,45057,23387,0,0
S2,HC3 off,no ergonomic ceiling,20,640,56,0.0875,91.7,20.3,0.5617,0,114,0,0,73817,23150,0,0
S3,HC3 off,no ergonomic ceiling,20,640,84,0.1313,80.65,13.35,0.5193,0,106,0,0,56469,26305,0,0
S1,HC4 off,no health floor,20,640,156,0.2437,67.9,7.1,0.4581,0,0,0,0,49249,26583,3918,0
S2,HC4 off,no health floor,20,640,74,0.1156,90.55,21.45,0.5433,0,0,0,0,77159,28103,4182,0
S3,HC4 off,no health floor,20,640,125,0.1953,79.5,14.5,0.5006,0,0,0,0,60112,30669,4058,0
S1,HC1 -> 0.85,§12 remedy A,20,640,128,0.2,69.2,5.8,0.4759,46,0,0,0,38883,28747,6778,0
S2,HC1 -> 0.85,§12 remedy A,20,640,68,0.1062,91.45,20.55,0.5544,64,0,0,0,57881,34390,9586,0
S3,HC1 -> 0.85,§12 remedy A,20,640,90,0.1406,80.25,13.75,0.5152,56,0,0,0,47304,34186,6801,0
S1,OP1 trained,§12 remedy B,20,640,133,0.2078,72.55,2.45,0.5266,0,0,0,0,40620,0,10457,0
S2,OP1 trained,§12 remedy B,20,640,54,0.0844,92.4,19.6,0.5826,0,0,0,0,68673,0,14314,0
S3,OP1 trained,§12 remedy B,20,640,101,0.1578,82.9,11.1,0.5588,0,0,0,0,54455,0,12473,0
S1,both remedies,§12 A + B,20,640,135,0.2109,73.25,1.75,0.5357,56,0,0,0,29990,0,17850,0
S2,both remedies,§12 A + B,20,640,58,0.0906,93.4,18.6,0.5921,72,0,0,0,50990,0,28438,0
S3,both remedies,§12 A + B,20,640,108,0.1688,83.45,10.55,0.5672,68,0,0,0,37878,0,23150,0
