run_id,scenario,baseline,seed,mean_fatigue,max_fatigue,mean_rula,workload_gini,energy_kwh,energy_per_unit,co2e_kg,scrap_rate,throughput,downtime_hrs,oee,constraint_violations,runtime_sec,demand,good_units,scrap_units,unfinished,maintenance_events,downtime_share,mean_health_end,hc1_breaches,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,machine_utilisation,operator_utilisation,deferral_epochs
S1_B1_s00,S1,B1,0,0.6697,1.0,4.9776,0.0129,111.657,1.4888,36.847,0.1733,75,1.25,0.6686,76,0.0254,75,62,13,0,5,0.0312,0.552,41,35,0.5174,0.9688,0.8349,0.8267,0,0.0,0,0,0,0,0.4771,0.7952,0
S1_B1_s01,S1,B1,1,0.653,1.0,4.756,0.011,107.029,1.4271,35.32,0.1467,75,1.25,0.6549,59,0.0241,75,64,11,0,5,0.0312,0.6066,33,26,0.4913,0.9688,0.7923,0.8533,0,0.0,0,0,0,0,0.4775,0.7959,0
S1_B1_s02,S1,B1,2,0.7043,1.0,4.9705,0.0052,118.594,1.5812,39.136,0.1467,75,1.25,0.6667,74,0.0256,75,64,11,0,5,0.0312,0.51,44,30,0.5286,0.9688,0.8065,0.8533,0,0.0,0,0,0,0,0.497,0.8283,0
S1_B1_s03,S1,B1,3,0.7048,1.0,5.033,0.0122,117.049,1.5607,38.626,0.1333,75,1.5,0.6888,90,0.0241,75,65,10,0,6,0.0375,0.7082,48,42,0.5267,0.9625,0.8258,0.8667,0,0.0,0,0,0,0,0.4894,0.8157,0
S1_B1_s04,S1,B1,4,0.6023,1.0,4.6531,0.0041,96.742,1.2899,31.925,0.1333,75,1.25,0.6734,60,0.026,75,65,10,0,5,0.0312,0.6612,33,27,0.4695,0.9688,0.802,0.8667,0,0.0,0,0,0,0,0.4572,0.7619,0
S1_B1_s05,S1,B1,5,0.6387,1.0,4.7584,0.0072,105.974,1.413,34.972,0.08,75,1.25,0.7194,59,0.0246,75,69,6,0,5,0.0312,0.5656,32,27,0.4883,0.9688,0.8072,0.92,0,0.0,0,0,0,0,0.4718,0.7864,0
S1_B1_s06,S1,B1,6,0.6446,1.0,4.7809,0.0048,106.937,1.4258,35.289,0.12,75,1.5,0.6802,60,0.0261,75,66,9,0,6,0.0375,0.7197,30,30,0.5031,0.9625,0.803,0.88,0,0.0,0,0,0,0,0.4774,0.7956,0
S1_B1_s07,S1,B1,7,0.5962,1.0,4.636,0.0059,96.889,1.2919,31.973,0.1067,75,1.25,0.6957,57,0.0263,75,67,8,0,5,0.0312,0.6586,31,26,0.4771,0.9688,0.8039,0.8933,0,0.0,0,0,0,0,0.4571,0.7619,0
S1_B1_s08,S1,B1,8,0.563,1.0,4.5722,0.0097,93.27,1.2436,30.779,0.12,75,1.25,0.7053,57,0.0269,75,66,9,0,5,0.0312,0.7455,30,27,0.4714,0.9688,0.8273,0.88,0,0.0,0,0,0,0,0.4412,0.7353,0
S1_B1_s09,S1,B1,9,0.5705,1.0,4.531,0.0095,93.526,1.247,30.864,0.2267,75,1.25,0.6003,48,0.0258,75,58,17,0,5,0.0312,0.7056,23,25,0.4684,0.9688,0.8013,0.7733,0,0.0,0,0,0,0,0.4493,0.7488,0
